Date,Open,High,Low,Close,Adj Close,Volume
2019-11-07,374.799988,375.500000,369.049988,371.750000,370.419830,4816149
2019-11-08,370.000000,375.850006,366.600006,369.149994,367.829132,5982102
2019-11-11,371.250000,373.950012,368.250000,371.500000,370.170715,2774571
2019-11-13,372.100006,373.399994,366.149994,368.600006,367.281097,6424227
2019-11-14,357.899994,367.100006,350.299988,362.500000,361.202942,21091587
2019-11-15,357.850006,398.500000,357.250000,393.049988,391.643616,55174490
2019-11-18,396.000000,420.549988,392.100006,409.200012,407.735840,42661408
2019-11-19,426.899994,445.649994,421.450012,439.350006,437.777954,62786851
2019-11-20,448.299988,452.950012,433.100006,437.299988,435.735260,55644344
2019-11-21,442.500000,442.500000,422.200012,426.299988,424.774628,22178883
2019-11-22,423.000000,429.950012,417.000000,420.649994,419.144867,16775621
2019-11-25,421.350006,455.649994,421.350006,451.399994,449.784821,33483563
2019-11-26,445.000000,447.000000,429.899994,432.350006,430.803009,23466171
2019-11-27,433.500000,437.000000,426.399994,433.350006,431.799438,13336531
2019-11-28,433.350006,443.899994,428.500000,436.649994,435.087616,21940833
2019-11-29,439.600006,449.649994,435.149994,442.450012,440.866882,20010753
2019-12-02,471.149994,485.600006,455.049988,458.600006,456.959076,55735805
2019-12-03,462.799988,465.049988,445.250000,459.100006,457.457275,23871561
2019-12-04,460.850006,464.799988,454.700012,461.399994,459.749054,16541195
2019-12-05,463.299988,463.600006,445.350006,447.350006,445.749329,17317332
2019-12-06,451.899994,452.399994,442.850006,444.850006,443.258270,11415172
2019-12-09,447.600006,451.600006,441.700012,445.850006,444.254700,7865300
2019-12-10,445.450012,451.000000,443.250000,447.000000,445.400574,7140031
2019-12-11,444.500000,449.049988,440.600006,442.750000,441.165771,6803615
2019-12-12,442.899994,443.850006,436.500000,438.649994,437.080444,7389050
2019-12-13,440.000000,440.700012,426.000000,427.799988,426.269257,13074677
2019-12-16,430.399994,431.049988,420.450012,421.850006,420.340576,6962613
2019-12-17,424.750000,441.500000,417.600006,439.950012,438.375824,22991811
2019-12-18,447.000000,447.100006,434.149994,438.299988,436.731689,17654537
2019-12-19,436.000000,456.799988,430.250000,449.450012,447.841827,13974432
2019-12-20,449.899994,460.399994,445.700012,453.799988,452.176239,21289419
2019-12-23,449.049988,459.149994,446.450012,454.799988,453.172668,10434970
2019-12-24,454.500000,460.000000,452.399994,457.149994,455.514252,6845488
2019-12-26,455.299988,456.500000,446.000000,447.549988,445.948608,5887041
2019-12-27,449.000000,457.049988,449.000000,455.100006,453.471588,5887082
2019-12-30,460.000000,464.700012,455.100006,460.500000,458.852264,11917988
2019-12-31,460.000000,462.500000,454.500000,455.799988,454.169067,5116528
2020-01-01,456.049988,460.500000,449.750000,453.299988,451.678009,5059995
2020-01-02,454.100006,459.399994,453.500000,455.200012,453.571259,4842142
2020-01-03,455.700012,459.200012,451.500000,455.100006,453.471588,5059594
2020-01-06,453.899994,457.450012,444.649994,449.649994,448.041077,7399981
2020-01-07,452.000000,455.299988,443.100006,445.100006,443.507385,4273646
2020-01-08,442.600006,460.750000,440.350006,458.850006,457.208191,13858623
2020-01-09,468.399994,474.950012,455.299988,460.100006,458.453705,17845812
2020-01-10,464.799988,465.950012,454.200012,457.000000,455.364807,37029733
2020-01-13,459.000000,470.299988,454.250000,468.899994,467.222198,14925989
2020-01-14,468.899994,472.649994,466.600006,469.350006,467.670624,8086659
2020-01-15,469.500000,472.000000,465.000000,467.850006,466.175995,10674839
2020-01-16,469.200012,476.950012,468.000000,473.899994,472.204315,15990374
2020-01-17,475.100006,503.799988,475.100006,500.049988,498.260742,60774623
2020-01-20,499.000000,512.700012,494.250000,508.700012,506.879822,44464024
2020-01-21,510.000000,515.000000,504.399994,511.750000,509.918884,64001338
2020-01-22,514.750000,523.750000,506.700012,514.500000,512.659058,19911947
2020-01-23,515.000000,526.000000,512.349976,523.650024,521.776367,15482185
2020-01-24,520.500000,527.349976,514.150024,524.250000,522.374146,23385562
2020-01-27,521.150024,524.099976,511.899994,514.400024,512.559448,11638278
2020-01-28,514.349976,514.400024,486.100006,491.250000,489.492249,31091035
2020-01-29,493.100006,501.399994,488.250000,490.250000,488.495819,19668016
2020-01-30,492.000000,492.899994,480.100006,489.799988,488.047424,15055241
2020-01-31,493.200012,499.399994,487.000000,496.450012,494.673645,18017965
2020-02-03,496.049988,513.349976,496.049988,510.049988,508.224976,14932443
2020-02-04,514.000000,522.599976,503.450012,518.900024,517.043335,14376670
2020-02-05,518.000000,537.500000,515.799988,533.349976,531.441589,30082900
2020-02-06,535.049988,552.799988,534.099976,546.799988,544.843445,16863683
2020-02-07,548.900024,549.000000,538.250000,539.450012,537.519775,8802579
2020-02-10,540.200012,543.650024,536.099976,538.700012,536.772461,8412522
2020-02-11,539.500000,544.650024,532.750000,534.299988,532.388184,6500749
2020-02-12,536.000000,542.349976,535.000000,539.599976,537.669189,5065813
2020-02-13,539.700012,542.750000,531.750000,539.950012,538.018005,5623475
2020-02-14,544.900024,567.549988,534.250000,565.000000,562.978333,36826473
2020-02-17,564.950012,568.700012,556.500000,564.849976,562.828857,22924036
2020-02-18,563.349976,568.849976,537.299988,548.250000,546.288269,21462600
2020-02-19,549.099976,553.599976,538.750000,543.400024,541.455688,21681078
2020-02-20,543.700012,552.000000,538.599976,545.599976,543.647766,15715009
2020-02-24,542.000000,542.049988,527.099976,529.900024,528.003967,9653196
2020-02-25,533.000000,537.950012,530.950012,535.250000,533.334778,9623521
2020-02-26,532.700012,539.400024,520.299988,535.950012,534.032288,18615730
2020-02-27,534.700012,535.849976,527.000000,531.650024,529.747742,11171400
2020-02-28,524.900024,528.400024,513.500000,523.500000,521.626831,16622086
2020-03-02,534.000000,536.000000,511.850006,518.349976,516.495239,9910097
2020-03-03,524.000000,533.349976,514.150024,520.799988,518.936523,10368929
2020-03-04,525.000000,532.799988,507.399994,516.750000,514.901001,17733434
2020-03-05,522.799988,530.700012,516.650024,526.900024,525.014709,14080598
2020-03-06,517.750000,523.650024,511.450012,519.150024,517.292419,9328722
2020-03-09,510.000000,512.000000,491.049988,496.250000,494.474365,15375556
2020-03-11,487.000000,508.500000,487.000000,493.799988,492.033112,21007582
2020-03-12,478.500000,481.500000,459.200012,464.950012,463.286377,14204409
2020-03-13,453.799988,509.049988,420.000000,491.850006,490.090118,23807314
2020-03-16,472.250000,492.950012,456.149994,464.799988,463.136871,14661016
2020-03-17,465.000000,481.000000,444.350006,454.700012,453.073029,12396957
2020-03-18,460.000000,478.799988,407.450012,425.549988,424.027313,28801933
2020-03-19,416.450012,451.649994,361.750000,444.750000,443.158630,23574623
2020-03-20,445.000000,472.000000,436.649994,462.649994,460.994568,19394829
2020-03-23,416.399994,445.700012,399.500000,407.350006,405.892456,14632657
2020-03-24,410.899994,437.850006,400.149994,404.049988,402.604248,12709240
2020-03-25,406.549988,438.250000,405.600006,429.100006,427.564636,13833466
2020-03-26,426.500000,493.450012,420.250000,470.700012,469.015778,21891559
2020-03-27,470.700012,474.799988,437.500000,448.950012,447.343597,16076572
2020-03-30,443.850006,449.299988,428.000000,431.049988,429.507629,10022553
2020-03-31,441.000000,447.000000,424.000000,440.899994,439.322388,16745069
2020-04-01,440.000000,440.000000,412.399994,421.350006,419.842377,9469123
2020-04-03,432.000000,432.000000,415.600006,423.950012,422.433075,14153710
2020-04-07,433.149994,485.750000,433.149994,470.200012,468.517578,15266903
2020-04-08,474.350006,491.100006,453.000000,461.649994,459.998138,13387974
2020-04-09,471.000000,492.299988,471.000000,488.700012,486.951385,11742367
2020-04-13,491.000000,520.900024,491.000000,512.200012,510.367310,23966578
2020-04-15,533.950012,535.950012,505.049988,510.500000,508.673370,25792855
2020-04-16,500.000000,513.000000,497.350006,500.450012,498.659332,17080435
2020-04-17,511.000000,512.500000,498.200012,502.450012,500.652191,16127523
2020-04-20,507.700012,507.700012,486.899994,490.299988,488.545624,11473101
2020-04-21,484.000000,503.799988,479.149994,500.500000,498.709137,15490855
2020-04-22,516.000000,517.049988,492.049988,501.399994,499.605927,18107595
2020-04-23,501.850006,507.299988,491.049988,496.000000,494.225250,12532066
2020-04-24,494.899994,499.000000,484.450012,494.250000,492.481506,11937738
2020-04-27,498.049988,503.049988,491.100006,494.049988,492.282227,9888710
2020-04-28,497.450012,497.450012,484.100006,485.649994,483.912262,11512936
2020-04-29,490.950012,498.399994,487.049988,496.000000,494.225250,8217429
2020-04-30,503.100006,515.950012,495.200012,514.299988,512.459778,19799159
2020-05-04,502.450012,540.000000,499.899994,532.500000,530.594666,34019449
2020-05-05,538.000000,553.700012,526.049988,528.049988,526.160583,29936905
2020-05-06,531.750000,551.450012,530.049988,546.000000,544.046326,25594154
2020-05-07,545.349976,545.349976,524.450012,528.049988,526.160583,15532117
2020-05-08,540.000000,545.799988,528.299988,530.049988,528.153381,13592411
2020-05-11,533.049988,548.500000,532.099976,536.200012,534.281433,14223754
2020-05-12,533.000000,564.000000,530.500000,559.849976,557.846741,22616585
2020-05-13,568.400024,569.750000,549.299988,555.950012,553.960754,21113369
2020-05-14,551.099976,562.500000,535.099976,539.849976,537.918335,13180860
2020-05-15,543.500000,556.900024,539.400024,554.099976,552.117310,14486140
2020-05-18,556.900024,559.000000,535.200012,538.049988,536.124756,21586050
2020-05-19,558.500000,603.500000,557.000000,598.799988,596.657410,71908985
2020-05-20,605.000000,612.000000,588.599976,594.049988,591.924377,35741865
2020-05-21,590.500000,604.500000,585.400024,594.549988,592.422607,20292552
2020-05-22,597.000000,597.400024,587.000000,593.200012,591.077454,11416299
2020-05-26,572.000000,576.450012,557.549988,559.250000,557.248962,76496981
2020-05-27,561.000000,565.549988,553.849976,563.099976,561.085144,22525840
2020-05-28,564.650024,568.000000,556.000000,562.750000,560.736389,16268836
2020-05-29,558.000000,564.000000,543.799988,552.599976,550.622681,54188806
2020-06-01,559.000000,561.650024,550.150024,559.049988,557.049622,39287024
2020-06-02,563.000000,572.299988,556.099976,558.099976,556.103027,31972728
2020-06-03,568.000000,568.299988,549.250000,551.650024,549.676147,29234914
2020-06-04,552.299988,585.400024,549.549988,572.450012,570.401733,29454264
2020-06-05,584.000000,590.000000,567.450012,584.349976,582.259094,47873027
2020-06-08,588.000000,593.700012,579.200012,585.150024,583.056274,20429990
2020-06-09,580.000000,591.650024,565.700012,567.799988,565.768311,14938972
2020-06-10,571.000000,576.000000,563.049988,567.099976,565.070801,19130270
2020-06-11,570.000000,573.799988,546.700012,551.849976,549.875366,27290666
2020-06-12,540.000000,562.000000,540.000000,560.099976,558.095886,18870073
2020-06-15,556.000000,563.750000,549.000000,550.700012,548.729553,13583898
2020-06-16,558.000000,559.299988,537.000000,544.900024,542.950317,19072591
2020-06-17,546.849976,565.500000,541.000000,563.450012,561.433899,20531273
2020-06-18,564.250000,572.900024,558.200012,560.900024,558.893066,19329677
2020-06-19,561.900024,578.200012,561.000000,572.500000,570.451538,41152081
2020-06-22,575.799988,588.000000,570.400024,581.049988,578.970947,12715764
2020-06-23,581.049988,584.599976,574.349976,578.799988,576.728943,9761566
2020-06-24,581.000000,582.000000,555.000000,557.349976,555.355713,12387239
2020-06-25,553.900024,563.700012,550.000000,559.000000,556.999817,15588791
2020-06-26,560.000000,566.400024,557.150024,560.400024,558.394836,11108837
2020-06-29,558.900024,568.950012,551.200012,567.099976,565.070801,12920390
2020-06-30,572.000000,577.000000,557.400024,559.849976,557.846741,12939125
2020-07-01,575.000000,575.000000,558.299988,560.150024,558.145752,13638591
2020-07-02,564.799988,567.000000,557.599976,558.450012,556.451782,13541452
2020-07-03,561.799988,583.450012,560.599976,581.450012,579.369507,20618770
2020-07-06,587.599976,589.299988,575.049988,576.599976,574.536804,15817653
2020-07-07,579.000000,582.599976,566.049988,567.150024,565.120667,12524299
2020-07-08,572.000000,574.000000,559.000000,561.299988,559.291565,9404733
2020-07-09,564.000000,570.250000,560.299988,568.650024,566.615295,8452955
2020-07-10,569.099976,579.000000,565.650024,574.700012,572.643677,13282943
2020-07-13,574.500000,589.000000,570.000000,586.799988,584.700317,16353455
2020-07-14,584.500000,596.799988,578.549988,589.349976,587.241211,32328497
2020-07-15,588.950012,588.950012,559.650024,563.599976,561.583374,19693187
2020-07-16,565.900024,566.200012,553.299988,562.750000,560.736389,11316406
2020-07-17,563.099976,573.900024,561.750000,566.750000,564.722107,11964836
2020-07-20,571.000000,582.500000,567.599976,575.750000,573.689880,9609258
2020-07-21,580.000000,583.799988,566.349976,567.750000,565.718506,11784668
2020-07-22,568.000000,575.500000,562.799988,569.150024,567.113525,10831170
2020-07-23,570.000000,575.750000,564.000000,567.200012,565.170471,9539679
2020-07-24,565.000000,567.400024,555.400024,559.450012,557.448242,9776883
2020-07-27,558.200012,563.750000,544.150024,559.500000,557.498047,10694766
2020-07-28,558.500000,574.250000,555.299988,564.599976,562.579773,13948327
2020-07-29,565.250000,569.150024,560.250000,566.200012,564.174072,9795850
2020-07-30,576.000000,580.450012,543.049988,552.700012,550.722412,44491042
2020-07-31,550.900024,559.299988,546.299988,554.849976,552.864624,13660951
2020-08-03,554.500000,556.500000,546.400024,547.349976,545.391479,9219647
2020-08-04,548.000000,553.349976,545.849976,549.000000,547.035583,11813321
2020-08-05,552.000000,560.500000,546.549988,558.950012,556.950012,12682126
2020-08-06,561.700012,561.700012,552.650024,555.299988,555.299988,10425223
2020-08-07,556.000000,563.400024,552.049988,560.799988,560.799988,7210629
2020-08-10,564.299988,565.000000,554.799988,558.849976,558.849976,9417791
2020-08-11,558.000000,560.500000,550.200012,551.099976,551.099976,8137906
2020-08-12,550.000000,561.250000,545.349976,547.700012,547.700012,12380655
2020-08-13,534.000000,548.299988,524.250000,535.349976,535.349976,36774315
2020-08-14,542.849976,542.849976,525.000000,528.599976,528.599976,18208679
2020-08-17,530.549988,532.500000,518.099976,521.400024,521.400024,19012503
2020-08-18,522.049988,529.099976,520.150024,526.299988,526.299988,13517871
2020-08-19,529.000000,539.900024,527.099976,535.849976,535.849976,17074711
2020-08-20,531.000000,533.599976,522.700012,525.549988,525.549988,13438502
2020-08-21,529.799988,529.799988,516.000000,520.250000,520.250000,21834948
2020-08-24,517.900024,532.400024,508.200012,526.900024,526.900024,29166795
